,age_bracket,time_bracket,time_segment,Crash_Norm_Annual
0,18-24,afternoon,before,2.103230805764607
1,18-24,afternoon,entry,2.059523805151551
2,18-24,afternoon,exit,2.2739723572208557
3,18-24,afternoon,re-entry,2.096987398832391
4,18-24,day,before,1.9993679888878129
5,18-24,day,entry,1.9918326192794353
6,18-24,day,exit,2.0951017546110227
7,18-24,day,re-entry,1.8733105600834223
8,18-24,morning,before,0.9142361961828089
9,18-24,morning,entry,0.9573757478598647
10,18-24,morning,exit,1.1248516203101278
11,18-24,morning,re-entry,0.9524278678194675
12,18-24,night,before,1.5111389928845387
13,18-24,night,entry,1.4596666144498756
14,18-24,night,exit,1.4805922858016871
15,18-24,night,re-entry,1.3325060308252437
16,25-34,afternoon,before,2.6571082271182584
17,25-34,afternoon,entry,2.8033785887099953
18,25-34,afternoon,exit,3.082727779833324
19,25-34,afternoon,re-entry,3.0571371145782535
20,25-34,day,before,2.4604791579743583
21,25-34,day,entry,2.5755806312977714
22,25-34,day,exit,2.8583657801930062
23,25-34,day,re-entry,2.6791846395584225
24,25-34,morning,before,1.435217283960055
25,25-34,morning,entry,1.6164248349161239
26,25-34,morning,exit,1.7665854940257717
27,25-34,morning,re-entry,1.7740120906459393
28,25-34,night,before,1.5338460077694966
29,25-34,night,entry,1.6694685321147162
30,25-34,night,exit,1.8512712325285345
31,25-34,night,re-entry,1.6996153846589077
32,35-44,afternoon,before,1.792911238898973
33,35-44,afternoon,entry,1.8035078433705698
34,35-44,afternoon,exit,2.1591794104877637
35,35-44,afternoon,re-entry,2.001677618822994
36,35-44,day,before,1.8552020819141948
37,35-44,day,entry,1.8768610356899817
38,35-44,day,exit,2.0116684018033535
39,35-44,day,re-entry,1.9411402057843616
40,35-44,morning,before,1.0959320267226427
41,35-44,morning,entry,1.1942377812391527
42,35-44,morning,exit,1.2555886943132526
43,35-44,morning,re-entry,1.2091488605858365
44,35-44,night,before,0.7415992304314257
45,35-44,night,entry,0.8205183224629412
46,35-44,night,exit,0.9083281243348468
47,35-44,night,re-entry,0.8930872527414332
48,45+,afternoon,before,2.584507557171275
49,45+,afternoon,entry,2.643656939263568
50,45+,afternoon,exit,3.059115894709147
51,45+,afternoon,re-entry,2.858714473743742
52,45+,day,before,3.166244213663463
53,45+,day,entry,3.3137965680328585
54,45+,day,exit,3.581043632271715
55,45+,day,re-entry,3.4146904556061934
56,45+,morning,before,1.5230433011730466
57,45+,morning,entry,1.6447815434860396
58,45+,morning,exit,1.8571418994214477
59,45+,morning,re-entry,1.7860476524176012
60,45+,night,before,0.706458607538306
61,45+,night,entry,0.8483442614610931
62,45+,night,exit,0.9063326491305522
63,45+,night,re-entry,0.9446439999548701
64,error,afternoon,before,0.6488414108508277
65,error,afternoon,entry,0.3441519882136032
66,error,afternoon,exit,0.42053545564476646
67,error,afternoon,re-entry,0.38540145928032715
68,error,day,before,0.619090606049672
69,error,day,entry,0.25671624913693597
70,error,day,exit,0.2713048111822937
71,error,day,re-entry,0.29190850467174273
72,error,morning,before,0.38189710195499815
73,error,morning,entry,0.23286560492456462
74,error,morning,exit,0.2347352575899293
75,error,morning,re-entry,0.23707583055361278
76,error,night,before,0.7180513557568053
77,error,night,entry,0.4763464365161115
78,error,night,exit,0.49862270043942497
79,error,night,re-entry,0.43727416212193715
80,less than 17,afternoon,before,0.24659002739650615
81,less than 17,afternoon,entry,0.2464192974538447
82,less than 17,afternoon,exit,0.28039216809939244
83,less than 17,afternoon,re-entry,0.22276677768200623
84,less than 17,day,before,0.1922748321081288
85,less than 17,day,entry,0.19113062660090838
86,less than 17,day,exit,0.22260619737763576
87,less than 17,day,re-entry,0.17267554450524575
88,less than 17,morning,before,0.09883532085597746
89,less than 17,morning,entry,0.11491019858945141
90,less than 17,morning,exit,0.11485457487469031
91,less than 17,morning,re-entry,0.10746130042869027
92,less than 17,night,before,0.10974829401144895
93,less than 17,night,entry,0.12617520117762193
94,less than 17,night,exit,0.13415544745039876
95,less than 17,night,re-entry,0.13404330449684937
