Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11153849,1,8
11153849,2,96
11154056,2,96
11154058,1,96
11154058,2,96
11154058,3,96
11154059,1,96
11154059,2,96
11154064,2,96
11154065,1,8
11154065,2,96
11154065,3,8
11154065,4,96
11154069,1,96
11154069,2,96
11154070,1,96
11154070,2,96
11154246,1,8
11154246,2,8
11154420,1,96
11154424,1,96
11154425,1,96
11154425,2,96
11154995,1,3
11154996,1,96
11154996,2,96
11156149,1,96
11156149,2,96
11156149,3,96
11156151,1,96
11156151,2,96
11156152,1,96
11156152,2,96
11156154,2,3
11156156,1,96
11156156,2,96
11156157,1,96
11156157,2,96
11156158,1,96
11156158,2,96
11156159,1,96
11156159,2,96
11156198,1,96
11156198,2,96
11156976,1,96
11156976,2,96
11157585,1,96
11157585,2,96
11157586,1,99
11157586,2,96
11157588,1,99
11157591,1,96
11157591,2,8
11157596,1,96
11157596,2,96
11160519,1,96
11160519,2,8
11160546,1,96
11160546,2,96
11160550,1,96
11160550,2,96
11161386,1,99
11161386,2,8
11161390,1,96
11161406,1,96
11161408,1,96
11161408,2,96
11161441,1,96
11161441,2,96
11161809,1,96
11161809,2,96
11161810,1,99
11161829,1,96
11161829,2,96
11161834,1,96
11161848,1,96
11162543,1,96
11162596,2,8
11162598,1,8
11162617,1,96
11162617,2,4
11162617,2,6
11162718,1,8
11162718,2,2
11162724,1,99
11162724,2,8
11162731,1,96
11162731,2,96
11162878,1,96
11162881,1,96
11162881,2,96
11162907,1,96
11162907,2,5
11163709,1,96
11163709,2,96
11163718,1,96
11163720,1,96
11163720,2,96
11163724,1,96
11163724,2,96
11163729,1,96
11163730,1,8
11163730,2,96
11163742,1,8
11163774,1,96
11163774,2,96
11163777,1,96
11163779,1,96
11163779,2,96
11163905,1,8
11163907,1,96
11163907,2,96
11163955,1,96
11163955,2,96
11163963,2,96
11163968,1,96
11163968,2,96
11163971,1,96
11163971,2,96
11163972,1,96
11163972,2,2
11163974,1,96
11163974,2,96
11163980,1,96
11163995,1,96
11163995,2,96
11163997,1,96
11163999,1,96
11163999,2,96
11164022,1,96
11164022,2,96
11164022,3,96
11164917,1,96
11164917,2,3
11165445,1,96
11165445,2,96
11165468,1,96
11165625,1,96
11165656,1,8
11165656,2,8
11165659,1,96
11165659,2,99
11165661,1,96
11165662,1,96
11165669,1,96
11165843,1,96
11165843,2,96
11165843,3,96
11165904,1,96
11165904,2,96
11165905,1,96
11165905,2,96
11166519,1,8
11166519,2,96
11166522,1,99
11166523,1,96
11166523,2,96
11166524,1,98
11166524,2,96
11166525,1,98
11166525,2,2
11166529,1,96
11166529,2,96
11166534,1,96
11166534,2,96
11166560,1,96
11166560,2,96
11167448,1,96
11167455,1,96
11167455,2,96
11167457,1,96
11167592,1,2
11167592,1,5
11167592,2,96
11167695,1,96
11167695,2,96
11167781,1,8
11167781,2,96
11167785,1,96
11167785,2,96
11167801,2,96
11167805,1,96
11167805,2,96
11167807,1,96
11167807,2,96
11167820,1,2
11167841,1,96
11167841,2,96
11167851,1,96
11167851,2,96
11168418,1,96
11168418,2,96
11168632,1,8
11168642,1,8
11168846,1,96
11168846,2,96
11168848,1,96
11168848,2,96
11168850,1,96
11168850,2,96
11168979,1,96
