Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
11152580,3,2,2,3,3,21,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
11153849,1,2,2,3,5,,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11153849,1,3,2,4,5,,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11153849,1,4,2,6,5,,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11153849,2,2,2,3,3,,2,2,1,1,3,97,N,,,,,,,0,0,1,0,0,1,0
11154058,2,2,2,3,5,26,4,1,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
11154064,1,2,2,3,5,57,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11154065,2,2,2,3,5,22,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11154065,3,2,2,3,5,30,2,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
11154065,4,2,2,3,5,33,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11154065,4,3,2,4,5,8,2,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
11154065,4,4,2,6,5,11,2,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
11154069,2,2,2,3,5,21,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
11154246,2,2,2,3,3,20,2,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
11154246,2,3,2,6,3,30,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
11154246,2,4,2,5,0,0,2,1,1,6,2,97,N,,,,,,,0,0,0,0,1,0,0
11154420,1,2,2,3,5,17,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
11154420,1,3,2,4,5,20,1,1,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
