Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
13620796,1,1,,FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY,754112
13620796,1,1,,NO TX DL,754112
13620796,1,2,,NO CHARGES,
13620796,2,1,,NO CHARGES,
13620796,2,2,,NO CHARGES,
13620796,2,3,,NO CHARGES,
13620796,2,4,,NO CHARGES,
13625015,1,1,,FAILURE TO CONTROL SPEED,TS17108
13626769,1,1,,NO CHARGES,
13626769,1,2,,NO CHARGES,
13626769,2,1,,15053137,RAN RED LIGHT
13626770,1,1,,NO CHARGES,
13626770,2,1,,NO CHARGES,
13626770,3,1,,NO CHARGES,
13626771,1,1,,NO CHARGES,
13626771,1,2,,NO CHARGES,
13626771,2,1,,NO CHARGES,
13626771,2,2,,NO CHARGES,
13626771,2,3,,NO CHARGES,
13626772,1,1,,NO CHARGES,
13626772,2,1,,NO CHARGES,
13626772,3,1,,NO CHARGES,
13626773,1,1,,FTMACD,15075602
13626773,2,1,,NO CHARGES,
13626774,1,1,,FTMACD,15060386
13626774,1,1,,EXP INSPECTION,15060386
13626774,2,1,,NO CHARGES,
13626780,1,1,,NO CHARGES,
13626780,2,1,,NO CHARGES,
13626780,2,2,,NO CHARGES,
13626781,1,1,,NO CHARGES,
13626781,2,1,,NO CHARGES,
13626781,2,2,,NO CHARGES,
13626782,1,1,,NO CHARGES,
13626782,1,2,,NO CHARGES,
13626782,2,1,,NO CHARGES,
13626782,3,1,,NO CHARGES,
13626783,1,1,,NO CHARGES,
13626784,1,1,,FTYROW LEFT TURN,15067104
13626784,2,1,,NO CHARGES,
13626785,1,1,,FAILED TO YIELD - LEFT TURN INTERSECTION,15069090
13626785,1,2,,NO CHARGES,
13626785,1,3,,NO CHARGES,
13626785,1,4,,NO CHARGES,
13626785,2,1,,FAILED TO YIELD - LEFT TURN INTERSECTION,15069090
13626785,2,2,,NO CHARGES,
13626786,1,1,,NO CHARGES,
13626786,1,2,,NO CHARGES,
13627107,1,1,,NO CHARGES,
13627107,2,1,,NO CHARGES,
13627108,1,1,,NO DL,13957720
13627108,1,1,,FAILED TO MAINTAIN ASSURED CLEAR DISTANCE,13957720
13627108,1,2,,NO CHARGES,
13627108,2,1,,NO CHARGES,
