Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
13620796,1,20
13620796,2,19
13625015,1,19
13626769,1,19
13626769,2,19
13626770,1,19
13626770,2,9
13626770,3,99
13626771,1,20
13626771,2,19
13626772,1,19
13626772,2,19
13626772,3,1
13626773,1,19
13626773,2,19
13626774,1,19
13626774,2,19
13626780,1,19
13626780,2,1
13626781,1,19
13626781,2,1
13626782,1,19
13626782,2,1
13626782,3,19
13626783,1,19
13626784,1,19
13626784,2,19
13626785,1,19
13626785,2,19
13626786,1,1
13627107,1,19
13627108,1,20
13627108,2,1
13627109,1,19
13627109,2,19
13627110,1,19
13627110,2,19
13627111,1,1
13627111,2,19
13627112,1,14
13627112,2,19
13627114,1,1
13627114,2,19
13627116,1,19
13627116,2,19
13627117,1,19
13627117,2,19
13627118,1,20
13627119,1,1
13627119,2,1
13627120,1,1
13627367,1,1
13627367,2,19
13627368,1,19
13627368,2,19
13627369,1,19
13627369,2,19
13627369,3,19
13627370,1,19
13627370,2,19
13627371,1,19
13627371,2,19
13627372,1,1
13627373,1,20
13627373,2,20
13627374,1,1
13627374,2,1
13627375,1,19
13627375,2,19
13627406,1,1
13627406,2,19
13628958,1,19
13628958,2,1
13630072,1,19
13630072,2,19
13630078,1,99
13630079,1,20
13630080,1,19
13630080,2,98
13630081,1,1
13630082,1,1
13630119,1,1
13630119,2,19
13630122,1,20
13630124,1,19
13630124,2,20
13630125,1,98
13630251,1,98
13630251,2,19
13630533,1,99
13630534,1,19
13630534,2,23
13630535,1,19
13630535,2,1
13630652,1,19
13630652,2,19
13630653,1,20
13630653,2,1
13630653,3,1
13632368,1,1
13632368,2,19
13632369,1,20
13632369,2,19
13632370,1,20
13632370,2,19
13632371,1,1
13632371,2,19
13632371,3,19
13632372,1,1
13632372,2,1
13632373,1,20
13632373,2,1
13632374,1,1
13632374,2,19
13632375,1,19
13632375,2,11
13632375,3,19
13632376,1,19
13632377,1,19
13632377,2,19
13632664,1,19
13632664,2,19
13632664,3,19
13632683,1,19
13632683,2,19
13634808,1,19
13634808,2,1
13634808,3,1
13634897,1,20
13634898,1,1
13634898,2,19
13634899,1,19
13634899,2,98
13634900,1,99
13634900,2,99
13634901,1,20
13634901,2,20
13634901,3,19
13634902,1,19
13634902,2,19
13634903,1,98
13634904,1,19
13634904,2,19
13634904,3,19
13634905,1,99
13634906,1,20
13634906,2,19
13634907,1,19
13634907,2,19
13634908,1,19
13634909,1,19
13634910,1,19
13634910,2,19
13634911,1,21
13634911,2,19
13634912,1,1
13634912,2,19
13634913,1,1
13634913,2,20
13634914,1,19
13634915,1,1
13634916,1,1
13635003,1,19
13635003,2,1
13635003,3,19
13635004,1,19
13635005,1,19
13635005,2,19
13635687,1,19
13635689,1,19
13635689,2,19
13635690,1,19
13635690,2,19
13635691,1,19
13635691,3,98
13635692,1,19
13635692,2,19
13635693,1,1
13635693,2,19
13635693,3,20
13635694,1,19
13635694,2,19
13635695,1,1
13635695,2,99
13635696,1,1
13635696,1,23
13635696,2,99
13635696,3,19
13635697,1,19
13635697,2,19
13635697,3,1
13635697,4,19
13635698,1,19
13635698,2,19
13635718,1,19
13635718,2,19
13635718,3,19
13635719,1,19
13635719,2,19
13635720,1,19
13635720,2,19
13635720,3,19
13635721,1,19
13635722,1,19
13635722,2,19
13635723,1,19
13635723,2,19
13635723,3,19
13636261,1,20
13637930,1,19
13637930,2,19
13637930,3,99
13637931,1,19
13637931,2,19
13637944,1,19
13637944,2,19
13637945,1,99
13637946,1,20
13637946,2,19
13638079,1,1
13638079,2,1
13638080,1,19
13638080,2,19
13638080,3,19
13638080,4,1
13638080,5,1
13638080,6,19
13639596,1,19
13639596,2,19
13639597,1,19
13639599,1,19
13639601,1,19
13639601,2,19
13639602,1,19
13639603,1,19
13639604,1,19
13639604,2,19
13639604,3,19
13639605,1,19
13639605,2,19
13639609,1,19
13639609,2,20
13639609,3,19
13639615,1,98
13639615,2,19
13639615,3,1
13639619,1,1
13639619,2,19
13639619,3,19
13640626,1,99
13640626,2,99
13640626,3,1
13640641,1,99
13640642,1,19
13640642,2,1
13640643,1,19
13640643,2,98
13640643,3,19
13640643,4,1
13640645,1,1
13640645,2,1
13640895,1,19
13640895,2,19
13641729,1,19
13641729,2,19
13641729,3,19
13641768,1,19
13642236,1,1
13643366,1,1
13643366,2,19
13643367,1,1
13643368,1,1
13643368,2,20
13643369,1,19
13643370,1,1
13643370,2,19
13643371,1,1
13643371,2,19
13643372,1,14
13643372,2,1
13643373,1,19
13643373,2,19
13643373,3,19
13643374,1,19
13643374,2,19
13643375,1,19
13643375,2,19
13643376,1,1
13643376,2,1
13643377,1,99
13643377,2,19
13643467,1,99
13643467,2,19
13643468,1,19
13643468,3,19
13643469,1,19
13643469,2,19
13643471,1,98
13643471,2,1
13643472,1,19
13643472,2,19
13643473,1,1
13643473,2,1
13643587,1,20
13643588,1,20
13643588,2,20
13643588,3,20
13643589,1,19
13643589,2,19
13643589,3,19
13643590,1,1
13643590,2,19
13643591,1,1
13643591,2,19
13643698,1,19
13643698,2,19
13643706,1,1
13643707,1,19
13643707,2,21
13643708,1,19
13643710,1,19
13643710,2,10
13643711,1,19
13643711,2,14
13643711,3,1
13643712,1,19
13643712,2,1
13643791,1,19
13646347,1,19
13646347,2,19
13646348,1,98
13646348,2,19
13646349,1,1
13646349,2,1
13646350,1,19
13646350,2,20
13646351,1,19
13646351,2,19
13646354,2,19
13646356,1,19
13646357,1,19
13646357,2,1
13646358,1,19
13646358,2,1
13646358,3,19
13646359,1,1
13646359,2,19
13646360,1,1
13646660,1,99
13646661,1,1
13646661,2,20
13646662,1,26
13646662,3,19
13646662,4,19
13646662,5,1
13646663,1,19
13646663,2,19
13646664,1,19
13646664,2,19
13646665,1,19
13646665,2,19
13646666,1,1
13646667,1,19
13646667,3,20
13646667,4,19
13646668,1,1
13646668,2,19
13646668,3,19
13646669,1,99
13646669,2,19
13646670,1,19
13646670,2,19
13646670,3,19
13646671,1,1
13646671,2,19
13646672,1,19
13646672,2,1
13646672,3,19
13646672,4,1
13646673,1,99
13646673,2,98
13646673,3,19
13646687,1,19
13646687,2,19
13646688,1,20
13646688,2,19
13646690,1,19
13646691,1,19
13646691,2,19
13646692,1,1
13646693,1,99
13646959,1,1
13646959,2,19
13646961,1,19
13646961,2,19
13646962,1,1
13646963,1,19
13646964,1,19
13646965,1,1
13646965,2,19
13646966,1,19
13646966,2,19
13646967,1,1
13646967,2,19
13646968,1,19
13646968,2,19
13646969,1,1
13646969,2,1
13646970,1,99
13646971,1,19
13646971,2,19
13646972,1,20
13646972,2,19
13646973,1,19
13646973,2,19
13646973,3,19
13646974,1,99
13646974,2,19
13646975,1,99
13646975,2,19
13646976,1,23
13646976,2,1
13646976,3,1
13646977,1,19
13646977,2,19
13646977,3,19
13646978,1,20
13646978,2,19
13647029,1,19
13647031,1,19
13647031,2,19
13647031,3,1
13647032,1,19
13647686,1,19
13647686,2,19
13647687,1,98
13647687,2,1
13647688,1,19
13647688,2,19
13647688,3,19
13647689,1,1
13647690,1,99
13647691,1,20
13647692,1,1
13647692,2,1
13647693,1,19
13647693,2,19
13647694,1,19
13647695,1,19
13647696,1,1
13647696,2,19
13647698,1,19
13647699,1,1
13647699,2,1
13647701,1,98
13647701,2,19
13647702,1,19
13647702,2,19
13647703,1,1
13647703,2,1
13647703,3,1
13647704,1,19
13647705,1,19
13647706,1,20
13647706,2,19
13647761,1,19
13647761,2,19
13647762,1,19
13647763,1,19
13647763,2,19
13647763,3,19
13647764,1,19
13647764,2,19
13647765,1,19
13647766,1,99
13647766,2,1
13647767,1,19
13647768,1,19
13647769,1,1
13647769,2,19
13647770,1,19
13647770,2,19
13647770,3,19
13647771,1,98
13647772,1,19
13647773,1,19
13647773,2,19
13647774,1,19
13647774,2,21
13647774,3,1
13647775,1,1
13647776,1,19
13647776,2,19
13647777,1,1
13647778,1,99
13647778,2,99
13647779,1,99
13647779,2,19
13647779,3,19
13647780,1,19
13647812,1,20
13647812,2,19
13647813,1,99
13647813,2,1
13647813,3,19
13647814,1,20
13647815,1,14
13647815,2,1
13647815,3,19
13647815,4,1
13647816,1,19
13647816,2,1
13647817,1,19
13647817,2,1
13647818,1,19
13647818,2,21
13647819,1,1
13647819,2,19
13647820,1,19
13647820,2,19
13647865,1,1
13647865,2,19
13650107,1,19
13650107,2,19
13650107,3,19
13650109,1,19
13650109,2,11
13650110,1,19
13650110,2,19
13650111,1,19
13650112,1,20
13650112,2,19
13650113,1,20
13650114,1,1
13650114,2,98
13650115,1,19
13650116,1,19
13650117,1,19
13650119,1,19
13650119,2,19
13650120,1,19
13650120,2,1
13650244,1,1
13650244,2,19
13650247,1,1
13650247,2,1
13650583,1,19
13650584,1,1
13650584,3,11
13650585,1,20
13650585,2,19
13650585,3,20
13650586,1,19
13650586,2,1
13650587,1,1
13650587,2,19
13650588,1,19
13650588,2,19
13650589,1,19
13650590,1,99
13650592,1,99
13650593,1,1
13650593,2,1
13650595,1,19
13650595,2,19
13650615,1,19
13650615,2,19
13650616,1,19
13650616,2,1
13650617,1,21
13650617,2,1
13650617,3,98
13650618,1,20
13650618,2,19
13650619,1,19
13650619,2,1
13650620,1,1
13650620,2,19
13650621,1,19
13650621,2,19
13650622,1,19
13650622,2,19
13650623,1,19
13650623,2,19
13650624,1,19
13650624,2,19
13650625,1,1
13650625,2,98
13650626,1,19
13650626,2,19
13650627,1,19
13650627,2,1
13650628,1,19
13650629,1,99
13650630,1,1
13650630,2,19
13650631,1,98
13650631,2,19
13650632,1,98
13650632,2,19
13650634,1,19
13650634,2,1
13650635,1,19
13650635,2,19
13650659,1,19
13650659,2,19
13650659,3,19
13650660,1,19
13650660,2,1
13650660,3,19
13650661,1,19
13650661,2,19
13650661,3,19
13650661,4,19
13650662,1,19
13650662,2,19
13650662,3,20
13650663,1,98
13650664,1,19
13650664,2,19
13650664,3,19
13650665,1,98
13650665,2,19
13650666,1,19
13650666,2,99
13650667,1,19
13650668,1,1
13650668,2,19
13650669,1,19
13650669,3,1
13650669,4,19
13650669,5,19
13650669,6,19
13650669,7,19
13650669,8,19
13650670,1,19
13650670,2,98
13650671,1,99
13650672,1,1
13650673,1,19
13650673,2,1
13650674,1,19
13650674,2,1
13650675,1,19
13650675,2,19
13650675,3,19
13650676,1,19
13650676,2,1
13650677,1,19
13650677,2,98
13650678,1,23
13650678,2,19
13650716,1,19
13650716,2,19
13650717,1,99
13650718,1,19
13650718,2,20
13650718,3,19
13650718,4,99
13650719,1,19
13650719,2,19
13650719,3,98
13650720,1,19
13650720,2,19
13650721,1,98
13650721,2,1
13650722,1,19
13650722,2,99
13650723,1,19
13650723,2,19
13650724,1,1
13650724,2,19
13650724,3,19
13650724,4,19
13650725,1,1
13650725,2,1
13650726,1,19
13650726,2,19
13650726,3,19
13650727,1,19
13650727,2,19
13650727,3,19
13650728,1,19
13650728,2,20
13650729,1,20
13650729,2,1
13650729,3,19
13650730,1,19
13650730,2,1
13650731,1,20
13650732,1,20
13650733,1,19
13650734,1,19
13650735,1,19
13650756,1,19
13650757,1,19
13650757,2,98
13650758,1,20
13650759,1,99
13650759,2,99
13650760,1,19
13650760,2,19
13650760,3,19
13650761,1,19
13650761,2,19
13650762,1,19
13650762,2,19
13650763,1,1
13650763,2,19
13650763,3,1
13650763,4,19
13650764,1,19
13650764,2,1
13650765,1,19
13652099,1,20
13652099,2,19
13652100,1,1
13652100,2,19
13652101,1,19
13652101,2,1
13652101,3,19
13652101,4,19
13652334,1,20
13652334,2,19
13652335,1,19
13652335,2,99
13652563,1,20
13652691,1,99
13652691,2,19
13652693,1,19
13652693,2,19
13652694,1,1
13652694,2,1
13652695,1,99
13652695,3,19
13652696,1,19
13652696,2,19
13652696,3,19
13652697,2,19
13652699,1,19
13652786,1,98
13652787,1,1
13652787,2,19
13652788,1,1
13652788,2,98
13652788,3,19
13652789,1,19
13652789,2,19
13652790,1,19
13652790,2,19
13652791,1,19
13652791,2,19
13652793,1,19
13652794,1,19
13652794,2,20
13653326,1,19
13653326,2,1
13653405,1,19
13653405,2,19
13653406,1,20
13653408,1,19
13653409,1,19
13653409,3,19
13653410,1,1
13653410,2,20
13653410,4,19
13653529,1,99
13653529,2,1
13653530,1,20
13653530,2,19
13653532,1,1
13653532,2,1
13653532,3,19
13653533,1,19
13653535,1,1
13653535,2,98
13653536,1,19
13653536,2,99
13653537,1,19
13653537,2,1
13653538,1,19
13653538,2,19
13653538,3,19
13653539,1,99
13653539,2,98
13653541,1,19
13653542,1,1
13653542,2,98
13653543,1,19
13653544,1,19
13653544,2,19
13653545,1,19
13653545,2,99
13653547,2,19
13653551,1,99
13653551,2,19
13653552,1,19
13653552,2,19
13653553,1,19
13653553,2,20
13653661,1,19
13653661,2,19
13653662,1,8
13653662,2,19
13653663,1,19
13653663,2,19
13653664,1,20
13653665,1,19
13653665,2,19
13653666,1,19
13653666,2,19
13653667,1,19
13653667,2,19
13653668,1,1
13653668,2,1
13653669,1,20
13653670,1,19
13653671,1,19
13653672,2,19
13653672,3,19
13653673,1,19
13653673,2,1
13653674,1,19
13653674,2,1
13653675,1,20
13653675,2,20
13653676,1,19
13653676,2,19
13653765,1,1
13653879,1,98
13653879,2,98
13653884,1,1
13653884,2,98
13653885,1,20
13653886,1,1
13653887,1,19
13653887,2,20
13653888,1,1
13653888,2,19
13653888,3,19
13654350,1,19
13656258,1,1
13656258,2,1
13656258,3,1
13656259,1,19
13656259,2,98
13656260,1,1
13656262,1,19
13656262,2,19
13656263,1,99
13656263,3,99
13656263,4,99
13656264,1,99
13656264,2,99
13656264,3,99
13656264,4,99
13656264,5,99
13656264,6,99
13656264,7,99
13656264,8,99
13656264,9,99
13656264,10,99
13656264,11,99
13656264,12,99
13656265,1,19
13656266,1,1
13656421,1,19
13656421,2,19
13656588,1,1
13656588,2,98
13656589,1,19
13656589,2,19
13656589,4,19
13656590,1,20
13656591,1,19
13656591,2,19
13656592,1,19
13656592,2,19
13656593,1,1
13656594,1,19
13656595,1,19
13656596,2,19
13658645,1,1
13658645,2,19
13658646,1,1
13658647,1,19
13658647,2,1
13658648,1,1
13658648,2,19
13658649,1,19
13658649,2,19
13658649,3,1
13658650,1,23
13658650,2,1
13658651,1,19
13658651,2,19
13658652,1,19
13658652,2,19
13658652,3,1
13658652,4,1
13658653,1,98
13658653,2,19
13658654,1,19
13658655,1,1
13658655,2,19
13658656,1,1
13658656,2,20
13658657,1,19
13658658,1,20
13658658,2,98
13658659,1,19
13658659,2,19
13658660,1,19
13658660,2,1
13658661,1,19
13658774,1,19
13658775,1,99
13658775,2,19
13658776,1,19
13658776,2,19
13658777,1,23
13658777,2,19
13658778,1,19
13658779,1,19
13658779,2,20
13658780,1,98
13658780,2,19
13658944,1,20
13658944,2,19
13658945,1,1
13658945,2,20
13658946,1,99
13658946,2,19
13658947,1,19
13658947,2,19
13658947,3,19
13658948,1,98
13658948,2,98
13658948,3,19
13658948,4,19
13658949,1,1
13658950,1,19
13658950,2,19
13658951,1,19
13658951,2,19
13658952,1,19
13658952,2,19
13658953,1,19
13658953,2,19
13658954,1,19
13658954,2,19
13658955,1,19
13658955,2,19
13658958,1,1
13658958,2,19
13658961,1,99
13658961,2,19
13658962,1,20
13658962,2,19
13658963,1,19
13658963,2,20
13658964,1,19
13658964,2,99
13658965,1,19
13658965,2,19
13658965,3,19
13658965,4,19
13658966,1,98
13658966,2,19
13658967,1,1
13658967,2,19
13659614,1,19
13659614,2,19
13659614,3,19
13659616,1,19
13659616,2,20
13659617,1,19
13659618,1,19
13659618,2,1
13659618,3,19
13659618,4,1
13659618,5,19
13659619,1,1
13659828,1,19
13661522,1,1
13661522,2,19
13662049,1,20
13662049,2,20
13662049,3,19
13662050,1,1
13662050,3,19
13662051,1,19
13662051,2,19
13662052,1,19
13662052,2,98
13662053,1,11
13662053,2,19
13662054,1,20
13662054,2,99
13662055,1,1
13662055,2,1
13662056,1,19
13662056,2,19
13662057,1,19
13662058,1,19
13662059,1,99
13662059,2,19
13662060,1,99
13662061,1,99
13662062,1,20
13662062,2,19
13662063,1,19
13662063,2,19
13662064,1,99
13662064,2,1
13662065,1,19
13662065,2,1
13662065,3,99
13662066,1,19
13662066,2,19
13662067,1,19
13662067,2,20
13662068,1,19
13662135,1,19
13662135,2,19
13662203,1,19
13662203,2,1
13662373,1,19
13662418,1,99
13662419,1,99
13662420,1,99
13662421,1,1
13662421,2,19
13662422,1,19
13662423,1,99
13662424,1,1
13662425,1,19
13662425,2,20
13662426,1,19
13662427,1,19
13662427,2,99
13662428,1,19
13662429,1,19
13662429,2,19
13662429,3,1
13662429,4,19
13662429,5,99
13662430,1,20
13662430,2,19
13662431,1,19
13662431,2,19
13662432,1,1
13662432,2,19
13662433,1,19
13662433,2,19
13662434,1,1
13662434,2,19
13662435,1,19
13662435,2,19
13662435,3,19
13662436,1,20
13662437,1,19
13662437,2,99
13662468,1,19
13662468,2,19
13662469,1,19
13662470,1,19
13662471,1,19
13662472,1,19
13662473,1,19
13662473,2,19
13662474,1,19
13662475,1,19
13662476,1,19
13662476,2,19
13662477,1,99
13662478,2,19
13662479,1,19
13662479,2,99
13662480,1,19
13662480,2,20
13662481,1,20
13662482,1,19
13662482,2,98
13662492,1,99
13662492,2,19
13662493,1,19
13662493,2,19
13662494,1,19
13662494,2,11
13662495,1,1
13662495,2,19
13662496,1,19
13662497,1,1
13662497,2,1
13663010,1,19
13663010,3,19
13663135,1,21
13663135,2,1
13663307,1,19
13663307,2,1
13663308,1,98
13663308,3,19
13663308,4,1
