Crash_ID,Unit_Nbr,Unit_Desc_ID,Veh_Parked_Fl,Veh_HNR_Fl,Veh_Lic_State_ID,VIN,Veh_Mod_Year,Veh_Color_ID,Veh_Make_ID,Veh_Mod_ID,Veh_Body_Styl_ID,Emer_Respndr_Fl,Ownr_Zip,Fin_Resp_Proof_ID,Fin_Resp_Type_ID,Veh_Dmag_Area_1_ID,Veh_Dmag_Scl_1_ID,Force_Dir_1_ID,Veh_Dmag_Area_2_ID,Veh_Dmag_Scl_2_ID,Force_Dir_2_ID,Veh_Inventoried_Fl,Veh_Transp_Name,Veh_Transp_Dest,Veh_Cmv_Fl,Cmv_Fiveton_Fl,Cmv_Hazmat_Fl,Cmv_Nine_Plus_Pass_Fl,Cmv_Veh_Oper_ID,Cmv_Carrier_ID_Type_ID,Cmv_Carrier_Zip,Cmv_Veh_Type_ID,Cmv_GVWR,Cmv_RGVW,Cmv_Hazmat_Rel_Fl,Hazmat_Cls_1_ID,Hazmat_IDNbr_1_ID,Hazmat_Cls_2_ID,Hazmat_IDNbr_2_ID,Cmv_Cargo_Body_ID,Cmv_Evnt1_ID,Cmv_Evnt2_ID,Cmv_Evnt3_ID,Cmv_Evnt4_ID,Cmv_Tot_Axle,Cmv_Tot_Tire,Contrib_Factr_1_ID,Contrib_Factr_2_ID,Contrib_Factr_3_ID,Contrib_Factr_P1_ID,Contrib_Factr_P2_ID,Veh_Dfct_1_ID,Veh_Dfct_2_ID,Veh_Dfct_3_ID,Veh_Dfct_P1_ID,Veh_Dfct_P2_ID,Veh_Trvl_Dir_ID,First_Harm_Evt_Inv_ID,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Cmv_Disabling_Damage_Fl,Cmv_Bus_Type_ID,Trlr_GVWR,Trlr_RGVW,Trlr_Type_ID,Trlr_Disabling_Dmag_ID,Cmv_Intermodal_Container_Permit_Fl,CMV_Actual_Gross_Weight
16826430,1,1,N,Y,43,3TMJU4GN6AM097690,2010,3,91,629,100,N,78753,1,1,2,3,12,6,2,6,Y,ROCHAS TOWING SERVICE,ROCHAS TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,20,23,,,,,,,,,1,1,0,0,0,0,1,0,0,,,,,,,,
16826430,2,1,N,N,43,1HGCG1650YA038496,2000,10,44,236,104,N,78744,2,,12,2,3,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,2,0,1,0,3,0,1,0,,,,,,,,
16826430,3,1,N,N,43,5YFBURHE6JP853415,2018,2,91,173,104,N,78521,1,1,2,2,12,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,2,0,0,0,1,0,0,0,,,,,,,,
16826641,1,1,N,N,43,KNAFK4A6XF5261644,2015,17,55,1093,104,N,78634,1,2,3,2,9,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
16826889,1,1,N,N,43,4T1BE46K49U356334,2009,2,91,380,104,N,78640,1,2,2,2,12,,,,Y,AUS-TEX AUTO ENTERPRISES LLC,AUS-TEX AUTO ENTERPRISES LLC,N,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
16827158,1,1,N,N,43,JTEDS42A992087483,2009,9,91,721,104,N,78703,1,1,2,3,12,,,,N,620 LAKESIDE TOWING,620 LAKESIDE TOWING,N,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,2,1,0,0,0,1,0,0,0,,,,,,,,
16827158,2,1,N,N,43,1N4AL3AP5EN373480,2014,16,71,500,104,N,78728,1,1,10,3,3,,,,N,EZ AUTO AND TOWING SERVICE,EZ AUTO AND TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,4,1,0,0,0,1,0,0,0,,,,,,,,
16827741,1,1,N,N,43,KMHGC4DD7DU258245,2013,9,45,1107,104,N,78731,1,1,10,2,3,,,,N,620 LAKESIDE TOWING,620 LAKESIDE TOWING,N,,,,,,,,,,,,,,,,,,,,,,22,,,74,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
16827742,1,1,N,N,43,2FMPK3J98HBC63737,2017,2,37,1035,104,N,78640,1,1,4,3,,,,,,EZ AUTO AND TOWING SERVICE,EZ AUTO AND TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,22,41,,,,,,,,,1,1,0,0,1,0,0,1,0,,,,,,,,
16828208,1,1,N,N,43,2HKRM3H71GH515052,2016,2,44,107,69,N,78613,1,2,16,4,5,,,,N,LEANDER TOWING,"350 N BAGDAD RD; LEANDER, TX 78641",N,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,5,1,0,0,0,1,0,0,0,,,,,,,,
16831725,1,1,N,N,43,1FM5K8AR2FGB91816,2015,12,37,554,105,Y,78701,4,7,2,2,2,,,,N,AUSTEX,1806 HARGRAVE,N,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
16831726,1,1,N,N,43,1C4BJWEG9GL287894,2016,2,429,1464,69,N,78704,3,2,2,3,12,,,,Y,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,0,2,0,0,0,,,,,,,,
16831726,2,1,N,N,43,KMHD35LE0DU105595,2013,17,45,480,104,N,78704,1,2,6,5,6,,,,Y,EZ AUTO AND TOWING SERVICE,EZ AUTO AND TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,0,2,0,0,0,,,,,,,,
16831726,3,1,N,N,43,1FM5K8AR3DGC26036,2013,2,37,554,69,N,78704,1,7,6,2,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,2,0,0,0,2,0,0,0,,,,,,,,
16831727,1,1,N,N,43,2G1FB1E30F9303638,2015,2,107,60,100,N,78681,1,2,2,2,12,,,,N,EZ AUTO AND TOWING SERVICE,EZ AUTO AND TOWING SERVICE,N,,,,,,,,,,,,,,,,,,,,,,67,44,,20,,,,,,,4,1,0,0,0,1,0,0,0,,,,,,,,
16831727,2,1,N,N,43,1NXBR12E7WZ064255,1998,21,91,380,104,N,78748,1,2,6,3,6,2,3,12,N,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4,1,0,0,0,1,0,0,0,,,,,,,,
16831727,3,1,N,N,43,1FM5K7F85DGA88638,2013,2,37,554,69,N,78610,1,2,6,1,6,2,0,12,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4,2,0,0,0,4,0,0,0,,,,,,,,
16831727,4,1,N,Y,113,,,,,,69,N,,2,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4,2,0,0,0,0,1,0,0,,,,,,,,
16831728,1,1,N,Y,43,WBAWL73528PX43860,2008,2,14,652,104,N,,,,2,5,12,,,,,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7,1,0,0,0,0,1,0,0,,,,,,,,
