Crash_ID,Damaged_Property
11153849,LIGHT POLE # 275283
11154070,METAL TRAFFIC CONTROL POLE
11154420,STONE MAIL BOX
11154995,CITY STREET SIGN (ONE WAY)
11154996,EXIT SIGN TO FAR WEST
11156149,UTILITY LIGHT POLE #100141878
11156151,TRAFFIC CONTROL DEVICE POLE
11156154,FENCING/GATE
11156976,FENCE
11156976,GARAGE BUILDING
11157589,UTILITY POLE #289606
11161406,25 FEET OF FENCE
11161802,LIGHT POLE #383549
11161834,METAL LIGHT POLE #371463
11161848,TREES
11162878,WOODEN POLE #318883
11162881,"""ONE WAY"" STREET SIGN"
11163777,METAL FENCE
11165129,APPROXIMATELY 20 FEET OF GUARDRAIL
11165437,TELEPHONE PLE #231124
11167468,POLE (LIGHT) #252126
11167484,DENNYS
11167500,30 FT FENCE/TREE
11168412,APPROX 100 FEET OF FENCE
11168848,FIRE HYDRANT
11169590,CURB AND RETAINING WALL
11169611,GUARDRAIL/WOOD POLES
11169635,EXIT GATE (WEST SIDE)
11169646,FIRE HYDRANT
11178603,"SIGN, BARB-WIRE FENCE"
11184833,EVERGREEN CEMETARY
11184871,FENCE
11184930,"FENCE, BUSINESS SIGN"
11184940,"FENCE, LANDSCAPING, RETAINING WALL"
11184953,DAMAGED CENTER MEDIAN
11184965,METAL LIGHT POLE
11184966,BLUE BICYCLE
11185008,ROAD SIGN
11185018,TREE
11185023,BUILDING
11185024,GRASS AND TREE
11185029,GAS MAIN REGULATOR POSTS
11185035,TELEPHONE POLE
11185038,TRAFFIC LIGHT POLE
11185054,GUARD RAIL
11185108,25 FT METAL GUARDRAIL
11185282,GUARDRAIL (15 FEET)
11185293,TELEPHONE POLE (229827)
11185305,METER #300
11185306,CITY LIGHT POLE #344562
11185318,GUARDRAIL
11185347,GUARDRAIL
11185352,GAURD RAIL
11185352,DIRECTIONAL CAUTION SIGN
11185358,GRASS LAWN
11185359,TURN SIGN
11185359,TELEPHONE GUIDE WIRE
11185369,CROSSWALK SIGN
11185427,METAL LIGHT POLE
11185427,CEDAR FENCE
11185496,ONE WAY DIRECTION SIGN
11185546,DECORATIVE BRICK FENCE
11185547,STOP SIGN
11185580,FIRE HYDRANT TAKEN OUT
11185589,GUARD RAIL
11185598,LANDSCAPING/WOODEN FENCE
11185629,FENCE
11185631,LIGHT POLE # UNKNOWN
11185631,SMALL POLE WITH ELECTRIC BOX
11202107,FENCE
11203714,GARAGE DOOR
11203716,BRIDGE GUARD RAIL
11210421,STREET LIGHT
11217151,FENCE
11217454,MAILBOX
11217465,TRAFFIC LIGHT POLE
11217477,TELEPHONE POLE 3200
11218356,STREET SIGN
11219181,FENCE
11219222,SIGN BOARD
11219222,CHAIN LINK FENCE
11219226,IRON FENCE
11219281,SCWINN ROAD BIKE
11219289,BRICK WALL
11219293,FENCE
11219298,RESIDENCE CARPORT
11219464,GUARD-RAIL DAMAGE
11219472,CURB
11219472,YARD - LAWN DAMAGE
11219582,BUSH
11220101,TELEPHONE POLE
11220160,DO NOT ENTER SIGN
11220172,BUILDING
11220172,FENCE
11220190,CITY UTILITY POLE #1953 D
11220208,GUARD RAIL
11220227,ELECTRIC POLE
11224136,CHAIN LINK FENCE
11224629,PARKING METER WITH SIGN
11225710,TRAFFIC ATTENUATOR
11230701,CONCRETE DIVIDER
11231168,TREES (PLANTED)
11231171,STOP SIGN
11231178,GUARD RAIL - METAL
11231180,GUARD RAIL
11231197,PEDESTRIAN SIGNAL
11231208,6118 FAIRWAY VILLAGE #136 BLDG. E
11231213,GAURD RAIL
11231227,ONE WAY SIGN
11231229,LIGHT POLE-VERY MINOR
11231230,CEMENT BARRIER
11231257,LIGHT POLE
11233167,TREE
11233184,GUARD RAIL
11233324,SIGN POLES
11233348,LIGHT POLE AND LANDSCAPE LIGHT
11233361,CITY STREET LAMP POLE
11233436,CONCRETE DIVINDING WALL
11233444,GUARD RAIL
11233447,TELEPHONE DIZZI POLE CABLE SUPPORT
11233463,YARD/LAWN
11233472,ONE WAY SIGN
11233486,CHIHUAHUA
11234159,CURB
11234160,FENCE
11243014,LIGHT POLE
11243056,MAILBOX
11243144,25' OF GALVANIZED GUARD RAIL
11243425,GRASS & BUSH
11243451,WIRE TO UTILITY POLE
11243469,GUARD RAIL
11243536,PEDESTRIAN CROSSING LIGHT
11243571,MERGE SIGN
11243613,POLE&LANSCAPING
11244113,FENCE TO BACK YARD
11244184,FIRE HYDRANT
11257965,TREE AND FRONT LAWN
11257965,"MAILBOX, TREE AND FRONT LAWN"
11257970,BUSINESS SIGN
11257970,JUNCTION SIGN FOR 620
11257978,ORANGE PLASTIC BARICADE
11258001,GUARD RAIL
11258022,CONCRETE RETAINER DIVIDER
11258086,MAILBOX W/ROCK MASONARY
11258111,LIGHT POST
11258114,GUARD RAIL
11258114,POSTED SIGN
11258129,METAL GUARDRAIL
11258261,STOP SIGN
11258272,BUILDING
11258285,15 BLACK IRON FENCING
11258294,LARGE BLACK METAL GATE
11258299,SLIGHT DAMAGE TO LIGHT POLE
11258322,EXPRESSWAY SIGN
11258377,WOODEN ELEC.POLE #215590
11258419,2 TREES
11258645,TELEPHONE POLE
11258667,GUARD RAIL
11258672,BARRIER POSTS
11258686,LIGHT POLE
11258689,WOODEN UTILITY POLE #229501
11258721,CITY OF AUSTIN PARKING SIGN
11258740,15-20 FEET OF GUARD POSTS & CABLING
11259170,TRAFFIC SIGN
11259170,DIVIDING ON RAMP BARRIER
11259438,METAL LIGHT POLE
11259438,STOP SIGN
11259446,BICYCLE
11259472,BICYCLE LOCK BAR
11259476,LANDSCAPPING
11259482,WOOD LIGHT POLE
11262379,LANDSCAPING
11275636,FIRE PLUG
11275652,BICYCLE FORKS AND BENT RIM
11275763,WOODEN POLE
11275767,APPROX 30' FENCING
11275887,METAL SIDE RAIL
11275892,WOOD FENCE
11275892,WOOD FENCE
11275895,BICYCLE
11275907,GUARD RAIL DAMAGED
11276174,GUARD RAIL
11276255,CITY SIGN
11276260,TREE
11276260,FENCE
11276305,GUARD RAIL
11276323,GUARDRAIL
11276327,GUARD RAIL
11276456,WOODEN FRONT YARD FENCE
11276458,"""DIP"" SIGN"
11278176,LANDSCAPE BARRIER STONE WALL
11279197,CONCRETE BARRIER
11283432,WORKOUT BENCH
11283438,TREE
11283605,UTILITY POLE # 366163
11283653,SIGNAL LIGHT POLE (NW CORNER)
11283676,GUARDRAIL
11283689,MARIOS DELI
11283877,SMALL TREE
11283877,ROAD HUMP SIGN
11284314,WOODEN FENCE
11284331,TREE
11284441,BARRICADES
11284445,GUARD RAIL
11284448,WEST ENTRANCE GATE
11284458,A C UNIT INTO HOUSE
11285759,NE CURBLINE SIGNAL LIGHT POLE
11285759,NE CURBLINE CURBLINE SIGNAL LIGHT BOX
11285930,CEMENT WALL-GUARD RAIL
11286992,TELEPHONE POLE # 321513
11288404,ATTENNUATOR / CEMENT WALL
11299224,GUARD BARRELLS
11299229,PROTECTIVE BARRIERS
11299250,LIGHT POST
11299433,LIGHT POLE
11299447,METAL CHAIN FENCE
11299514,"SIGN ""NO ENTRANCE"""
11299528,CRASH BARRIER
11299739,YELLOW MERGING SIGN
11300031,BUS STOP
11300041,STOP SIGN
11300045,GUARD RAIL
11300150,STOP SIGN
11300150,GUIDE WIRE POLE #239719
11300173,PROFESSIONAL CONCRETE HOOKS
11300901,POWER POLE #240354
11300902,6FT BRICK FENCE
11300902,6FT WOOD PRIVACY FENCE
11300906,METAL GUARD RAIL
11300911,30' OF GUARD RAIL
11300913,BICYCLE
11300923,GAS REGULATOR/RISER
11300943,FIXED OBJECT - TREE
11300947,METAL POLE BY GAS PUMP #11
11300948,DIRECTIONAL SIGN
11311851,GUARDRAIL AND STREET SIGNS
11311910,STOP SIGN
11311998,SIGN
11312007,AT&T SWITCH BOX #MH829
11312333,CABLE BOXES
11312333,TREES
11312377,LIGHT POLE #366079
11312395,CENTER MEDIAN
11312425,STREET/YIELD SIGN
11312425,PLANTER BOX; YARD
11312439,CONCRETE DEVIDER
11312479,TREE
11312507,WOODEN FENCE
11312550,GUARD RAIL
11318202,ROCK WALL
11318226,"PLANTS, STONE WORK"
11318228,RETAINING WALL IN FRONT YARD
11318260,LIGHT POLE
